nke,timestamp,open,high,low,close,volume
nke,2025-10-23,69.0900,69.8850,68.7400,69.6800,9124913
nke,2025-10-22,68.2200,69.3600,67.9600,69.0800,8096127
nke,2025-10-21,67.7500,69.2900,67.4100,68.3600,9659203
nke,2025-10-20,67.5600,68.1750,67.4700,67.6200,9669999
nke,2025-10-17,66.6300,67.7700,66.3200,67.3700,10054043
nke,2025-10-16,68.6000,69.0400,66.5800,66.8400,15349738
nke,2025-10-15,68.5800,69.5300,68.1300,68.4600,13001479
nke,2025-10-14,66.4700,68.0000,66.0600,67.6400,9483677
nke,2025-10-13,65.7000,67.5200,65.5475,67.3800,13191246
nke,2025-10-10,68.1800,68.4900,64.8800,65.2200,18806071
nke,2025-10-09,69.5500,69.6550,67.8900,68.0600,13410879
nke,2025-10-08,68.9100,69.4260,68.6650,69.0900,13051753
nke,2025-10-07,71.2300,71.5800,68.9000,68.9100,17367985
nke,2025-10-06,72.0200,72.3900,71.0100,71.1700,14039587
nke,2025-10-03,74.7800,74.7800,71.9200,71.9300,18794866
nke,2025-10-02,75.0000,76.9700,73.8800,74.5700,26254376
nke,2025-10-01,74.3450,74.6900,71.6100,74.2000,57921886
nke,2025-09-30,70.0700,70.2066,68.8200,69.7300,40567682
nke,2025-09-29,69.7700,69.9600,68.7400,69.5500,18479281
nke,2025-09-26,69.3800,69.4400,68.0300,69.3100,15627552
nke,2025-09-25,71.1600,71.1600,69.0515,69.2400,13075284
nke,2025-09-24,70.6700,71.5300,70.4500,71.2200,10024485
nke,2025-09-23,71.5700,72.4200,70.7300,70.9300,10432417
nke,2025-09-22,70.7850,72.4899,70.4250,71.2800,12336264
nke,2025-09-19,72.0100,72.2500,70.7400,70.8900,33415575
nke,2025-09-18,73.4350,73.6000,71.6300,72.1000,14918371
nke,2025-09-17,73.0650,73.3200,71.6100,72.3100,11108702
nke,2025-09-16,72.8000,73.3750,72.0900,72.7500,8813556
nke,2025-09-15,73.1800,73.2090,72.5750,73.0300,10323751
nke,2025-09-12,74.2400,74.2800,71.9300,73.0000,11806044
nke,2025-09-11,74.4100,75.5300,74.0100,74.3300,9803422
nke,2025-09-10,75.2450,75.4600,73.3300,74.2500,11359274
nke,2025-09-09,73.9900,74.5500,73.0500,73.6000,8740157
nke,2025-09-08,74.2600,74.5800,73.7100,74.1500,13793260
nke,2025-09-05,74.8000,75.4100,73.6300,73.9100,13758377
nke,2025-09-04,74.7500,75.7700,74.5100,75.3500,11096158
nke,2025-09-03,74.4000,75.1800,73.9100,74.7400,7441170
nke,2025-09-02,75.6400,76.0500,74.0000,74.2900,15078709
nke,2025-08-29,77.7500,79.1300,77.1200,77.3700,14208813
nke,2025-08-28,78.5800,78.6600,77.7250,77.9200,7478609
nke,2025-08-27,78.9600,79.5100,77.6500,78.0600,12636742
nke,2025-08-26,78.9950,79.4800,78.3800,78.6500,6874765
nke,2025-08-25,78.4700,80.1650,78.3900,79.1700,12488938
nke,2025-08-22,76.5400,79.1350,76.2500,78.3800,10985948
nke,2025-08-21,75.7000,76.2254,75.1335,76.1800,6354912
nke,2025-08-20,76.6900,77.5600,76.1600,76.2600,6282604
nke,2025-08-19,78.2000,78.7900,76.6750,76.8800,7684807
