tsla,timestamp,open,high,low,close,volume
tsla,2025-10-09,431.8100,436.3500,426.1800,435.5400,69339928
tsla,2025-10-08,437.5700,441.3300,425.2300,438.6900,71192128
tsla,2025-10-07,447.8200,452.6800,432.4501,433.0900,102296082
tsla,2025-10-06,440.7500,453.5500,436.6900,453.2500,85324878
tsla,2025-10-03,443.2850,446.7700,416.5750,429.8300,133188180
tsla,2025-10-02,470.5400,470.7500,435.5700,436.0000,137008950
tsla,2025-10-01,443.8000,462.2900,440.7500,459.4600,98122285
tsla,2025-09-30,441.5200,445.0000,433.1200,444.7200,74357960
tsla,2025-09-29,444.3500,450.9800,439.5000,443.2100,79491510
tsla,2025-09-26,428.3000,440.4700,421.0200,440.4000,101628160
tsla,2025-09-25,435.2400,435.3500,419.0800,423.3900,96746426
tsla,2025-09-24,429.8300,444.2100,429.0301,442.7900,93133570
tsla,2025-09-23,439.8800,440.9700,423.7200,425.8500,83422691
tsla,2025-09-22,431.1100,444.9800,429.1300,434.2100,97108777
tsla,2025-09-19,421.8200,429.4700,421.7200,426.0700,93131034
tsla,2025-09-18,428.8650,432.2199,416.5600,416.8500,90454509
tsla,2025-09-17,415.7500,428.3121,409.6700,425.8600,106133532
tsla,2025-09-16,414.4950,423.2500,411.4300,421.6200,104285721
tsla,2025-09-15,423.1300,425.7000,402.4300,410.0400,163823667
tsla,2025-09-12,370.9400,396.6899,370.2400,395.9400,168156391
tsla,2025-09-11,350.1700,368.9900,347.6000,368.8100,103756010
tsla,2025-09-10,350.5500,356.3300,346.0700,347.7900,72121679
tsla,2025-09-09,348.4400,350.7700,343.8200,346.9700,53815991
tsla,2025-09-08,354.6400,358.4400,344.8400,346.4000,75208290
tsla,2025-09-05,348.0000,355.8700,344.6801,350.8400,108989785
tsla,2025-09-04,336.1500,338.8900,331.4800,338.5300,60711033
tsla,2025-09-03,335.2000,343.3300,328.5100,334.0900,88238894
tsla,2025-09-02,328.2300,333.3300,325.6000,329.3600,58391952
tsla,2025-08-29,347.2300,348.7499,331.7000,333.8700,81145660
tsla,2025-08-28,350.9100,353.5500,340.2600,345.9800,67903224
tsla,2025-08-27,351.9400,355.3900,349.1560,349.6000,65519012
tsla,2025-08-26,344.9300,351.9000,343.7200,351.6700,76651550
tsla,2025-08-25,338.9000,349.5300,335.0300,346.6000,86670037
tsla,2025-08-22,321.6600,340.2500,319.6900,340.0100,94016347
tsla,2025-08-21,322.0800,324.9000,318.6800,320.1100,55744445
tsla,2025-08-20,329.2200,331.3700,314.6000,323.9000,77481768
tsla,2025-08-19,335.7900,340.5500,327.8500,329.3100,75956002
